date,latitude,longitude,county,rainfall,temperature,humidity
2020-01-01,0.47,35.97,Baringo,0.0,23.81,51.71
2020-01-02,0.47,35.97,Baringo,0.3,23.59,57.08
2020-01-03,0.47,35.97,Baringo,0.0,24.15,57.33
2020-01-04,0.47,35.97,Baringo,0.2,23.9,54.04
2020-01-05,0.47,35.97,Baringo,0.0,25.45,46.62
2020-01-06,0.47,35.97,Baringo,0.1,25.67,47.96
2020-01-07,0.47,35.97,Baringo,0.2,25.05,55.83
2020-01-08,0.47,35.97,Baringo,1.3,25.09,52.88
2020-01-09,0.47,35.97,Baringo,0.4,25.18,45.88
2020-01-10,0.47,35.97,Baringo,0.0,26.0,42.46
2020-01-11,0.47,35.97,Baringo,0.0,26.2,45.58
2020-01-12,0.47,35.97,Baringo,5.8,24.03,65.0
2020-01-13,0.47,35.97,Baringo,3.0,23.12,67.0
2020-01-14,0.47,35.97,Baringo,0.3,23.14,70.04
2020-01-15,0.47,35.97,Baringo,0.1,24.05,61.96
2020-01-16,0.47,35.97,Baringo,0.0,24.32,59.88
2020-01-17,0.47,35.97,Baringo,0.1,25.95,54.83
2020-01-18,0.47,35.97,Baringo,0.0,26.47,46.25
2020-01-19,0.47,35.97,Baringo,0.0,26.61,40.25
2020-01-20,0.47,35.97,Baringo,0.0,26.61,36.79
2020-01-21,0.47,35.97,Baringo,0.0,26.26,36.96
2020-01-22,0.47,35.97,Baringo,0.0,26.96,41.25
2020-01-23,0.47,35.97,Baringo,0.0,26.9,42.88
2020-01-24,0.47,35.97,Baringo,0.0,25.58,49.75
2020-01-25,0.47,35.97,Baringo,0.0,25.36,54.46
2020-01-26,0.47,35.97,Baringo,0.0,24.82,58.62
2020-01-27,0.47,35.97,Baringo,1.4,23.69,67.08
2020-01-28,0.47,35.97,Baringo,5.5,22.62,73.58
2020-01-29,0.47,35.97,Baringo,19.1,22.07,79.0
2020-01-30,0.47,35.97,Baringo,4.4,22.41,76.83
2020-01-31,0.47,35.97,Baringo,9.0,22.96,73.0
2020-02-01,0.47,35.97,Baringo,14.0,21.87,78.96
2020-02-02,0.47,35.97,Baringo,3.2,22.62,75.04
2020-02-03,0.47,35.97,Baringo,2.9,22.92,72.75
2020-02-04,0.47,35.97,Baringo,0.7,23.05,69.5
2020-02-05,0.47,35.97,Baringo,0.3,23.23,66.58
2020-02-06,0.47,35.97,Baringo,0.0,23.61,62.29
2020-02-07,0.47,35.97,Baringo,0.0,23.99,56.38
2020-02-08,0.47,35.97,Baringo,0.0,24.2,54.54
2020-02-09,0.47,35.97,Baringo,0.0,23.52,52.17
2020-02-10,0.47,35.97,Baringo,0.0,24.51,45.21
2020-02-11,0.47,35.97,Baringo,0.0,25.2,42.62
2020-02-12,0.47,35.97,Baringo,0.0,26.01,46.75
2020-02-13,0.47,35.97,Baringo,1.3,24.68,61.0
